facility_id,amenity_type,name,lat,lon
454697962,pharmacy,Humana,42.5758656,21.5793192
454704042,hospital,QKMF Kamenica,42.5763475,21.580115
517589630,hospital,Klinika Kirurgjike,42.6443638,21.1623712
603647263,doctors,Ars Dent,42.6683926,21.1752568
612468828,doctors,Kirurgjia,42.6575805,21.1562458
683113552,hospital,Ambulanca Medicinale për Familje,41.991036,20.706698
695414447,pharmacy,Barnatore Olisa,42.6371156,21.0924325
800644182,pharmacy,RAMKU Pharmacy,42.6556532,21.1772096
826704200,pharmacy,Fidanfarm,42.650795,21.1575166
941178965,hospital,Poliklinika GALAXY,42.6536811,21.1514818
1016618064,clinic,"Klinika Private ""Diagnoza""",42.470487,21.4644709
1033293864,pharmacy,Unknown,42.5837727,21.574977
1033295969,pharmacy,Unknown,42.5764566,21.5805347
1033297390,pharmacy,Unknown,42.5888814,21.5753092
1122601139,pharmacy,"Depo Parafarmaceutike ""SHEMO""",42.224914,20.7298712
1213872829,doctors,Joni Dent (Dental),42.6490915,21.161875
1215015781,pharmacy,Barnatore A,42.6570447,21.1667089
1235769462,doctors,"Ordinanca Pediatrika ""RRITU""",42.6552941,21.178945
1298871586,pharmacy,Luma,42.2232853,20.7330446
1344618310,pharmacy,"Barnatore ""REMEDIA"" Driton Berisha",42.6551749,20.2929283
1484015750,pharmacy,Barnatore,42.5823576,21.5737717
1558177872,pharmacy,Unknown,42.8889044,20.8676895
1558177873,pharmacy,Albi Pharm,42.8888841,20.8675467
1558177874,pharmacy,Unknown,42.8887128,20.867714
1558177875,pharmacy,Gentiana Lutea,42.8880843,20.8679422
1558177877,pharmacy,Unknown,42.8874645,20.8674877
1559933833,pharmacy,Unknown,42.6150243,21.1790741
1563597033,pharmacy,Barnatorja e shtetit,42.888694,20.8696341
1590123337,hospital,Qedra Mjeksore,42.2247049,20.7415273
1623017886,pharmacy,Vita Barnatore,42.6525806,21.1585395
1650180955,pharmacy,Barnatore,42.2237666,20.7114621
1655990139,dentist,New Dent,42.6423615,21.1541974
1675722426,pharmacy,Unknown,42.2169919,20.7433631
1688486048,clinic,Qendra e Shendetit Mental,42.6618424,20.2742939
1688500365,clinic,Qendra e Mjeksise Familjare,42.6605649,20.2834918
1699886331,clinic,Qendra e Mjekësisë Familjare,42.6705506,21.165047
1764242860,clinic,Qendra e Mjekësisë Familjare Dardani,42.6526257,21.1575312
1771378069,hospital,Instituti Kombëtar i Shëndetësisë Publike,42.6455482,21.1594896
1839050261,pharmacy,Barnatorja Arbëri,42.2153932,20.7301642
1902392092,hospital,Dom Zdravlja,42.0543984,20.6952872
2051042129,clinic,QMF Tusuz,42.2002468,20.7142713
2162606436,dentist,Medinter,42.6481476,21.1620922
2162845592,pharmacy,Barnatore Aura,42.6481042,21.1623351
2162845593,pharmacy,Barnatore Pharmacy NIKI,42.6481236,21.1624111
2162845594,pharmacy,Barnatore Pharmacy,42.6482218,21.162334
2162845595,pharmacy,Barnatore Zana Pharm,42.6481559,21.1624187
2162845597,hospital,Fakulteti i Mjeksise - Institutet A,42.6462858,21.160886
2162845598,hospital,Fakulteti i Mjeksise - Institutet B,42.6464288,21.159779
2162845599,hospital,Fakulteti i Stomatologjise/Klinika e Stomatologjise,42.6458399,21.1617977
2162845600,pharmacy,Fati Im-Laboratori,42.648,21.1619136
2162845609,hospital,Klinika Interne,42.6448343,21.1620038
2162845617,hospital,Klinika Psikiatrike 2(e vjeter),42.6432019,21.1600412
2162845626,hospital,Klinika e Kirurgjise,42.6444757,21.1634351
2162845629,hospital,Klinika e Neurologjisë,42.6431303,21.1605899
2162845633,hospital,Klinika e Syve,42.6445863,21.1624228
2162845634,hospital,"Klinika per Vesh,Fyt dhe Hunde",42.6445371,21.1631697
2162845644,pharmacy,Pharmacy Barnatore,42.644556,21.1602738
